PlanId,PlanMarketingName,MetalLevel,PlanType,MarketCoverage,ChildOnlyOffering,IsHSAEligible,IsNewPlan,IsGuaranteedRate,WellnessProgramOffered,DiseaseManagementProgramsOffered,OutOfCountryCoverage,OutOfServiceAreaCoverage,SpecialistRequiringReferral,IssuerActuarialValue,StateCode,ServiceAreaId,NetworkId,StandardComponentId,DentalOnlyPlan,IsNoticeRequiredForPregnancy
183,Plan 183,Bronze,HMO,Individual,Yes,Yes,Yes,No,No,Yes,No,No,No,70.8%,GA,GAS001,NCN001,000183,No,No
184,Plan 184,Gold,EPO,Child-only,Yes,Yes,No,Yes,Yes,No,No,Yes,No,85.4%,TX,TXS001,ILN001,000184,Yes,No
185,Plan 185,Platinum,HMO,Family,No,No,Yes,Yes,Yes,No,Yes,Yes,No,73.6%,NY,TXS001,MIN001,000185,No,No
186,Plan 186,Gold,EPO,Child-only,Yes,No,No,No,No,No,No,Yes,Yes,67.0%,PA,NCS001,FLN001,000186,Yes,Yes
187,Plan 187,Platinum,HMO,Family,Yes,No,Yes,No,No,No,Yes,Yes,Yes,82.9%,PA,PAS001,ILN001,000187,Yes,No
188,Plan 188,Gold,EPO,Family,Yes,Yes,Yes,No,Yes,No,No,Yes,No,84.3%,NY,TXS001,FLN001,000188,No,Yes
189,Plan 189,Bronze,EPO,Individual,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,83.4%,FL,NYS001,MIN001,000189,Yes,No
190,Plan 190,Bronze,EPO,Child-only,Yes,Yes,No,Yes,No,No,No,Yes,No,82.3%,GA,TXS001,ILN001,000190,Yes,Yes
191,Plan 191,Bronze,PPO,Child-only,No,No,No,No,Yes,Yes,No,No,No,76.8%,OH,ILS001,TXN001,000191,Yes,No
192,Plan 192,Bronze,HMO,Family,Yes,Yes,Yes,No,No,No,Yes,Yes,No,89.2%,NY,NCS001,PAN001,000192,No,No
193,Plan 193,Silver,PPO,Family,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,81.1%,OH,FLS001,ILN001,000193,Yes,Yes
194,Plan 194,Gold,HMO,Child-only,No,Yes,No,No,Yes,Yes,Yes,No,No,71.6%,PA,TXS001,CAN001,000194,No,No
195,Plan 195,Silver,PPO,Individual,No,Yes,No,Yes,Yes,No,Yes,Yes,No,80.8%,NY,OHS001,FLN001,000195,No,No
196,Plan 196,Platinum,EPO,Child-only,Yes,No,No,No,No,Yes,Yes,Yes,Yes,87.0%,PA,OHS001,TXN001,000196,Yes,No
197,Plan 197,Gold,PPO,Individual,Yes,No,Yes,Yes,No,Yes,No,No,No,70.3%,NC,OHS001,CAN001,000197,No,Yes
198,Plan 198,Platinum,EPO,Family,Yes,Yes,No,Yes,No,Yes,No,No,Yes,64.3%,GA,ILS001,OHN001,000198,No,No
199,Plan 199,Bronze,EPO,Child-only,Yes,No,Yes,No,Yes,No,No,No,No,87.4%,CA,FLS001,TXN001,000199,No,Yes
200,Plan 200,Platinum,EPO,Child-only,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,83.4%,CA,ILS001,PAN001,000200,Yes,No
201,Plan 201,Platinum,PPO,Individual,No,No,Yes,Yes,No,Yes,Yes,Yes,No,79.0%,TX,FLS001,MIN001,000201,Yes,No
202,Plan 202,Bronze,HMO,Individual,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,75.9%,GA,TXS001,TXN001,000202,Yes,No
203,Plan 203,Gold,EPO,Family,Yes,Yes,Yes,No,No,No,No,Yes,Yes,81.0%,TX,ILS001,ILN001,000203,No,No
204,Plan 204,Silver,HMO,Child-only,Yes,Yes,No,No,Yes,No,Yes,No,No,71.2%,PA,PAS001,NCN001,000204,Yes,No
205,Plan 205,Gold,PPO,Child-only,No,No,Yes,No,No,Yes,No,No,No,81.5%,NC,TXS001,MIN001,000205,Yes,Yes
206,Plan 206,Gold,EPO,Individual,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,82.5%,NC,GAS001,CAN001,000206,No,Yes
207,Plan 207,Bronze,PPO,Child-only,Yes,No,Yes,No,Yes,No,Yes,No,No,78.1%,GA,OHS001,MIN001,000207,Yes,Yes
208,Plan 208,Bronze,HMO,Family,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,64.3%,MI,ILS001,ILN001,000208,No,Yes
209,Plan 209,Bronze,EPO,Individual,No,Yes,Yes,No,Yes,Yes,No,No,No,74.3%,CA,OHS001,MIN001,000209,Yes,No
210,Plan 210,Bronze,PPO,Individual,No,No,Yes,No,No,No,No,Yes,No,87.5%,FL,PAS001,NYN001,000210,Yes,No
211,Plan 211,Bronze,EPO,Family,No,No,Yes,Yes,No,Yes,Yes,No,Yes,68.8%,MI,GAS001,NCN001,000211,Yes,No
212,Plan 212,Bronze,PPO,Individual,No,No,No,Yes,Yes,Yes,Yes,No,Yes,76.4%,NY,NCS001,ILN001,000212,Yes,No
213,Plan 213,Bronze,PPO,Family,Yes,Yes,No,No,No,Yes,No,No,Yes,76.5%,CA,NYS001,TXN001,000213,Yes,Yes
214,Plan 214,Bronze,PPO,Child-only,Yes,No,Yes,Yes,No,No,Yes,Yes,No,83.5%,NC,OHS001,NCN001,000214,Yes,No
215,Plan 215,Bronze,EPO,Family,No,No,Yes,No,Yes,No,Yes,Yes,Yes,79.2%,IL,GAS001,OHN001,000215,No,Yes
216,Plan 216,Gold,PPO,Individual,Yes,No,Yes,No,Yes,No,No,Yes,Yes,79.6%,MI,NYS001,ILN001,000216,No,Yes
217,Plan 217,Platinum,EPO,Individual,Yes,Yes,Yes,No,No,Yes,Yes,No,No,62.9%,MI,GAS001,PAN001,000217,No,No
218,Plan 218,Silver,PPO,Individual,No,Yes,Yes,No,Yes,Yes,No,No,Yes,73.3%,CA,GAS001,ILN001,000218,No,Yes
219,Plan 219,Platinum,HMO,Individual,Yes,No,No,No,Yes,No,No,Yes,Yes,83.0%,PA,FLS001,TXN001,000219,Yes,Yes
220,Plan 220,Silver,EPO,Individual,No,No,Yes,No,No,No,Yes,Yes,Yes,88.0%,CA,GAS001,FLN001,000220,Yes,No
221,Plan 221,Bronze,HMO,Child-only,Yes,No,Yes,Yes,No,No,No,Yes,Yes,70.8%,NY,FLS001,ILN001,000221,Yes,No
222,Plan 222,Gold,PPO,Family,No,Yes,No,Yes,No,Yes,Yes,No,Yes,68.3%,FL,PAS001,FLN001,000222,No,No
223,Plan 223,Platinum,EPO,Family,No,Yes,No,Yes,No,No,Yes,Yes,Yes,74.5%,FL,ILS001,NCN001,000223,Yes,No
224,Plan 224,Platinum,HMO,Child-only,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,82.6%,FL,MIS001,PAN001,000224,No,Yes
225,Plan 225,Gold,HMO,Individual,No,No,No,No,No,Yes,No,Yes,No,64.4%,CA,CAS001,MIN001,000225,Yes,No
226,Plan 226,Bronze,PPO,Individual,No,Yes,No,Yes,No,Yes,Yes,No,No,88.4%,CA,TXS001,TXN001,000226,Yes,No
227,Plan 227,Bronze,HMO,Individual,Yes,No,No,Yes,Yes,No,Yes,No,Yes,88.4%,MI,GAS001,PAN001,000227,No,Yes
228,Plan 228,Silver,HMO,Individual,Yes,Yes,No,No,No,Yes,Yes,Yes,No,66.7%,NC,FLS001,MIN001,000228,No,No
229,Plan 229,Bronze,PPO,Family,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,75.4%,NC,GAS001,NYN001,000229,Yes,Yes
230,Plan 230,Platinum,PPO,Family,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,70.7%,IL,TXS001,TXN001,000230,Yes,Yes
231,Plan 231,Bronze,PPO,Individual,Yes,Yes,No,Yes,No,No,No,Yes,Yes,67.5%,FL,ILS001,NYN001,000231,Yes,Yes
232,Plan 232,Gold,PPO,Child-only,No,Yes,No,No,Yes,No,No,Yes,Yes,75.1%,GA,PAS001,ILN001,000232,Yes,Yes
233,Plan 233,Platinum,EPO,Individual,Yes,Yes,No,No,Yes,No,No,No,Yes,60.1%,PA,OHS001,FLN001,000233,No,No
234,Plan 234,Silver,EPO,Individual,Yes,No,Yes,Yes,Yes,No,No,No,No,81.6%,FL,OHS001,MIN001,000234,No,Yes
235,Plan 235,Silver,EPO,Individual,No,Yes,No,Yes,No,No,No,No,Yes,88.8%,GA,OHS001,OHN001,000235,Yes,No
236,Plan 236,Platinum,EPO,Child-only,No,Yes,Yes,No,Yes,No,Yes,Yes,No,77.7%,CA,MIS001,MIN001,000236,Yes,Yes
237,Plan 237,Bronze,HMO,Individual,No,No,Yes,Yes,No,Yes,No,Yes,Yes,78.6%,GA,NCS001,CAN001,000237,Yes,No
238,Plan 238,Gold,PPO,Family,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,71.4%,NY,GAS001,FLN001,000238,Yes,Yes
239,Plan 239,Silver,HMO,Individual,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,76.3%,MI,NYS001,ILN001,000239,No,Yes
240,Plan 240,Gold,HMO,Child-only,Yes,Yes,Yes,No,Yes,Yes,No,No,No,82.4%,PA,TXS001,NCN001,000240,Yes,No
241,Plan 241,Gold,EPO,Child-only,No,No,No,Yes,Yes,Yes,Yes,No,No,68.7%,CA,TXS001,GAN001,000241,No,Yes
242,Plan 242,Silver,HMO,Child-only,Yes,Yes,Yes,No,Yes,No,No,No,No,74.4%,GA,GAS001,NYN001,000242,No,No
243,Plan 243,Silver,PPO,Individual,Yes,Yes,No,No,No,Yes,Yes,No,No,68.7%,TX,TXS001,MIN001,000243,No,Yes
244,Plan 244,Bronze,HMO,Child-only,Yes,Yes,Yes,Yes,Yes,No,No,No,No,63.4%,IL,NCS001,NYN001,000244,No,Yes
245,Plan 245,Silver,EPO,Individual,No,Yes,No,No,Yes,Yes,Yes,No,Yes,71.2%,OH,NYS001,FLN001,000245,No,No
246,Plan 246,Silver,EPO,Individual,No,Yes,No,Yes,Yes,No,Yes,No,Yes,88.9%,TX,PAS001,TXN001,000246,Yes,No
247,Plan 247,Bronze,PPO,Family,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,65.6%,IL,OHS001,GAN001,000247,No,No
248,Plan 248,Gold,PPO,Child-only,No,Yes,Yes,No,Yes,No,No,Yes,Yes,79.1%,FL,PAS001,OHN001,000248,Yes,No
249,Plan 249,Silver,HMO,Family,No,No,No,No,No,Yes,No,Yes,No,81.4%,GA,GAS001,PAN001,000249,Yes,Yes
250,Plan 250,Platinum,PPO,Individual,No,Yes,No,No,No,No,No,No,Yes,85.0%,TX,PAS001,FLN001,000250,Yes,Yes
251,Plan 251,Bronze,PPO,Family,No,No,No,No,No,Yes,Yes,Yes,No,74.5%,GA,NCS001,CAN001,000251,Yes,No
252,Plan 252,Silver,EPO,Individual,No,Yes,No,No,No,No,No,No,No,82.0%,GA,NCS001,GAN001,000252,No,Yes
253,Plan 253,Gold,PPO,Child-only,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,79.8%,NC,TXS001,FLN001,000253,Yes,Yes
254,Plan 254,Platinum,EPO,Child-only,Yes,Yes,No,Yes,No,No,No,No,Yes,62.9%,NC,GAS001,FLN001,000254,Yes,Yes
255,Plan 255,Silver,PPO,Child-only,Yes,Yes,No,Yes,No,No,No,No,No,67.6%,FL,OHS001,PAN001,000255,Yes,Yes
256,Plan 256,Gold,EPO,Individual,Yes,No,Yes,No,No,No,Yes,No,No,85.5%,GA,ILS001,NCN001,000256,No,No
257,Plan 257,Bronze,PPO,Child-only,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,78.5%,OH,CAS001,CAN001,000257,Yes,Yes
258,Plan 258,Platinum,EPO,Family,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,72.8%,GA,NCS001,NCN001,000258,No,No
259,Plan 259,Gold,HMO,Child-only,Yes,Yes,Yes,Yes,No,No,Yes,No,No,64.3%,TX,GAS001,NCN001,000259,Yes,No
260,Plan 260,Bronze,HMO,Family,No,Yes,Yes,Yes,No,No,No,Yes,No,85.7%,TX,GAS001,GAN001,000260,Yes,Yes
261,Plan 261,Bronze,HMO,Family,No,No,No,No,No,Yes,Yes,Yes,No,63.0%,GA,GAS001,NCN001,000261,No,Yes
262,Plan 262,Gold,HMO,Individual,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,87.4%,NC,CAS001,TXN001,000262,Yes,No
263,Plan 263,Bronze,PPO,Child-only,No,No,No,Yes,Yes,Yes,Yes,No,Yes,64.4%,NC,GAS001,FLN001,000263,No,Yes
264,Plan 264,Platinum,PPO,Individual,Yes,No,Yes,No,Yes,Yes,No,Yes,No,71.5%,FL,OHS001,FLN001,000264,No,Yes
265,Plan 265,Platinum,EPO,Child-only,Yes,Yes,No,Yes,No,No,No,Yes,No,84.7%,MI,CAS001,GAN001,000265,No,No
266,Plan 266,Platinum,PPO,Family,No,No,No,No,No,No,Yes,No,Yes,87.2%,NC,NYS001,FLN001,000266,No,Yes
267,Plan 267,Bronze,PPO,Family,No,No,No,Yes,No,No,No,No,Yes,74.2%,TX,GAS001,MIN001,000267,Yes,Yes
268,Plan 268,Bronze,PPO,Family,No,Yes,Yes,Yes,Yes,No,Yes,No,No,63.8%,TX,TXS001,OHN001,000268,No,No
269,Plan 269,Gold,PPO,Child-only,No,No,No,Yes,No,No,Yes,No,No,84.3%,NY,CAS001,GAN001,000269,No,Yes
270,Plan 270,Gold,HMO,Child-only,No,No,No,No,No,No,Yes,Yes,Yes,61.0%,NY,PAS001,ILN001,000270,No,Yes
271,Plan 271,Platinum,EPO,Child-only,No,Yes,No,No,Yes,Yes,No,Yes,No,70.7%,NC,OHS001,NCN001,000271,No,Yes
272,Plan 272,Gold,PPO,Child-only,Yes,No,No,No,No,Yes,Yes,Yes,No,66.8%,PA,TXS001,FLN001,000272,No,No
273,Plan 273,Platinum,PPO,Child-only,No,Yes,No,No,No,No,No,Yes,No,71.1%,NY,NYS001,OHN001,000273,Yes,Yes
274,Plan 274,Gold,PPO,Family,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,61.6%,TX,TXS001,ILN001,000274,Yes,No
275,Plan 275,Platinum,PPO,Individual,Yes,Yes,No,Yes,Yes,Yes,No,No,No,66.8%,PA,NYS001,GAN001,000275,Yes,No
276,Plan 276,Silver,EPO,Family,Yes,Yes,No,No,Yes,Yes,Yes,No,No,70.5%,TX,GAS001,NYN001,000276,No,No
277,Plan 277,Silver,PPO,Individual,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,63.5%,MI,TXS001,CAN001,000277,No,Yes
278,Plan 278,Silver,EPO,Family,No,No,Yes,No,Yes,No,Yes,No,No,74.9%,NC,FLS001,CAN001,000278,No,No
279,Plan 279,Silver,PPO,Individual,Yes,No,No,No,No,Yes,Yes,Yes,Yes,71.9%,GA,MIS001,OHN001,000279,No,No
280,Plan 280,Platinum,PPO,Individual,No,No,Yes,No,Yes,No,Yes,Yes,No,85.2%,IL,TXS001,NYN001,000280,Yes,No
281,Plan 281,Gold,EPO,Child-only,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,83.2%,NC,PAS001,FLN001,000281,No,No
282,Plan 282,Platinum,HMO,Family,Yes,No,No,No,No,Yes,No,No,Yes,85.6%,GA,PAS001,CAN001,000282,Yes,Yes
283,Plan 283,Gold,PPO,Child-only,No,Yes,No,Yes,No,Yes,No,No,Yes,71.7%,PA,OHS001,NYN001,000283,No,No
284,Plan 284,Silver,HMO,Family,No,No,No,No,Yes,Yes,Yes,No,No,73.1%,NY,CAS001,FLN001,000284,Yes,Yes
285,Plan 285,Gold,EPO,Individual,No,Yes,No,No,No,Yes,Yes,Yes,Yes,78.8%,CA,NCS001,GAN001,000285,No,Yes
286,Plan 286,Silver,EPO,Individual,Yes,No,Yes,No,Yes,No,No,Yes,Yes,72.4%,IL,TXS001,PAN001,000286,No,Yes
287,Plan 287,Bronze,PPO,Individual,No,Yes,No,No,No,No,No,No,No,66.5%,NY,NYS001,PAN001,000287,Yes,Yes
288,Plan 288,Silver,PPO,Child-only,No,No,No,Yes,Yes,Yes,No,No,Yes,75.6%,MI,NCS001,OHN001,000288,Yes,Yes
289,Plan 289,Bronze,EPO,Child-only,No,No,No,No,No,No,Yes,No,Yes,60.2%,GA,TXS001,FLN001,000289,No,No
290,Plan 290,Silver,EPO,Child-only,No,No,No,Yes,No,Yes,Yes,Yes,Yes,65.8%,NY,PAS001,ILN001,000290,No,Yes
291,Plan 291,Gold,HMO,Child-only,No,No,No,Yes,Yes,No,Yes,Yes,Yes,70.3%,IL,NCS001,GAN001,000291,No,Yes
292,Plan 292,Bronze,HMO,Child-only,No,No,Yes,No,No,No,Yes,Yes,No,77.8%,NC,NCS001,OHN001,000292,No,Yes
293,Plan 293,Silver,PPO,Family,No,Yes,No,No,No,Yes,No,No,No,72.5%,FL,NYS001,CAN001,000293,No,Yes
294,Plan 294,Gold,PPO,Individual,No,Yes,No,Yes,Yes,No,No,No,No,63.6%,PA,TXS001,PAN001,000294,No,No
295,Plan 295,Platinum,PPO,Individual,No,Yes,No,No,No,Yes,No,Yes,Yes,69.2%,NC,TXS001,TXN001,000295,No,No
296,Plan 296,Bronze,EPO,Individual,Yes,Yes,No,No,No,No,No,Yes,Yes,72.4%,MI,NCS001,NYN001,000296,Yes,Yes
297,Plan 297,Platinum,PPO,Child-only,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,67.4%,NY,FLS001,FLN001,000297,No,Yes
298,Plan 298,Platinum,EPO,Child-only,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,86.9%,IL,MIS001,NCN001,000298,Yes,Yes
299,Plan 299,Silver,PPO,Child-only,No,Yes,No,No,No,No,Yes,Yes,Yes,75.8%,TX,CAS001,NCN001,000299,No,Yes
300,Plan 300,Silver,HMO,Child-only,Yes,No,No,Yes,Yes,No,Yes,No,Yes,64.3%,IL,GAS001,FLN001,000300,Yes,No
301,Plan 301,Bronze,PPO,Individual,No,No,No,No,No,Yes,Yes,No,Yes,68.4%,CA,NYS001,TXN001,000301,Yes,Yes
302,Plan 302,Silver,HMO,Individual,Yes,No,Yes,No,No,No,No,Yes,No,61.8%,NC,OHS001,PAN001,000302,Yes,Yes
303,Plan 303,Silver,PPO,Individual,No,Yes,No,No,No,No,No,No,No,60.1%,MI,PAS001,PAN001,000303,No,No
304,Plan 304,Silver,EPO,Individual,Yes,Yes,Yes,No,No,No,No,No,Yes,74.6%,MI,OHS001,PAN001,000304,Yes,Yes
305,Plan 305,Bronze,EPO,Child-only,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,70.5%,GA,TXS001,GAN001,000305,No,Yes
306,Plan 306,Silver,HMO,Family,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,71.1%,CA,GAS001,PAN001,000306,Yes,No
307,Plan 307,Platinum,HMO,Individual,Yes,Yes,Yes,No,Yes,No,Yes,No,No,74.0%,FL,CAS001,MIN001,000307,No,No
308,Plan 308,Platinum,EPO,Individual,No,Yes,No,Yes,No,No,No,Yes,Yes,68.9%,NC,OHS001,NYN001,000308,No,No
309,Plan 309,Bronze,HMO,Child-only,Yes,Yes,Yes,Yes,No,Yes,No,No,No,88.7%,GA,GAS001,GAN001,000309,Yes,No
310,Plan 310,Platinum,HMO,Child-only,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,73.3%,NC,FLS001,PAN001,000310,No,Yes
311,Plan 311,Gold,HMO,Child-only,Yes,No,Yes,No,Yes,No,Yes,Yes,No,76.4%,PA,GAS001,GAN001,000311,Yes,Yes
312,Plan 312,Platinum,HMO,Individual,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,80.2%,NC,TXS001,ILN001,000312,Yes,Yes
313,Plan 313,Bronze,HMO,Child-only,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,62.5%,IL,MIS001,NCN001,000313,No,No
314,Plan 314,Gold,EPO,Family,Yes,Yes,No,Yes,Yes,No,No,No,Yes,81.7%,NC,TXS001,ILN001,000314,Yes,No
315,Plan 315,Gold,EPO,Family,Yes,No,No,Yes,No,No,No,No,No,64.2%,NY,CAS001,CAN001,000315,No,No
316,Plan 316,Gold,PPO,Family,No,No,No,No,No,No,Yes,Yes,Yes,60.1%,TX,OHS001,TXN001,000316,No,No
317,Plan 317,Gold,EPO,Child-only,No,Yes,No,No,Yes,Yes,No,Yes,No,87.1%,CA,FLS001,NYN001,000317,Yes,No
318,Plan 318,Gold,PPO,Child-only,Yes,Yes,No,Yes,No,No,No,No,No,89.2%,OH,NCS001,ILN001,000318,No,Yes
319,Plan 319,Gold,HMO,Individual,No,Yes,No,Yes,Yes,Yes,Yes,No,No,72.4%,MI,NCS001,PAN001,000319,No,No
320,Plan 320,Silver,EPO,Family,Yes,No,Yes,Yes,No,No,Yes,No,Yes,79.4%,GA,FLS001,MIN001,000320,No,No
321,Plan 321,Gold,PPO,Individual,Yes,No,No,No,Yes,Yes,No,Yes,No,86.7%,CA,OHS001,NYN001,000321,No,Yes
322,Plan 322,Gold,PPO,Child-only,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,64.7%,OH,TXS001,NCN001,000322,Yes,Yes
323,Plan 323,Gold,HMO,Family,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,68.9%,GA,OHS001,CAN001,000323,Yes,No
324,Plan 324,Platinum,PPO,Individual,No,No,No,No,Yes,No,No,No,No,82.4%,PA,ILS001,FLN001,000324,Yes,Yes
325,Plan 325,Bronze,PPO,Family,Yes,No,No,Yes,No,No,Yes,Yes,Yes,83.6%,MI,ILS001,CAN001,000325,Yes,Yes
326,Plan 326,Platinum,HMO,Family,Yes,No,Yes,Yes,Yes,No,No,Yes,No,77.5%,FL,MIS001,OHN001,000326,No,Yes
327,Plan 327,Silver,HMO,Family,No,Yes,Yes,No,No,Yes,Yes,Yes,No,69.6%,CA,TXS001,PAN001,000327,Yes,No
328,Plan 328,Bronze,EPO,Child-only,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,61.2%,MI,NCS001,CAN001,000328,Yes,Yes
329,Plan 329,Bronze,HMO,Family,No,No,No,Yes,Yes,No,No,Yes,Yes,64.2%,FL,OHS001,ILN001,000329,Yes,No
330,Plan 330,Gold,HMO,Child-only,No,No,No,Yes,No,Yes,Yes,No,No,76.3%,TX,FLS001,GAN001,000330,No,No
331,Plan 331,Gold,EPO,Individual,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,60.3%,MI,FLS001,TXN001,000331,Yes,No
332,Plan 332,Silver,PPO,Individual,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,60.3%,TX,GAS001,MIN001,000332,No,Yes
333,Plan 333,Bronze,EPO,Family,Yes,Yes,Yes,No,No,No,No,Yes,Yes,76.4%,MI,FLS001,ILN001,000333,Yes,No
334,Plan 334,Silver,HMO,Individual,No,No,Yes,Yes,Yes,Yes,No,No,Yes,61.4%,PA,NYS001,ILN001,000334,Yes,Yes
335,Plan 335,Bronze,PPO,Child-only,No,Yes,Yes,Yes,No,No,No,Yes,Yes,81.6%,MI,OHS001,GAN001,000335,No,Yes
336,Plan 336,Silver,EPO,Child-only,No,No,No,Yes,Yes,Yes,No,No,No,69.6%,TX,MIS001,MIN001,000336,No,Yes
337,Plan 337,Platinum,HMO,Family,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,66.2%,IL,NCS001,ILN001,000337,Yes,No
338,Plan 338,Platinum,EPO,Child-only,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,78.9%,NY,NYS001,FLN001,000338,No,Yes
339,Plan 339,Gold,EPO,Family,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,72.0%,MI,NYS001,NCN001,000339,No,Yes
340,Plan 340,Silver,EPO,Family,No,Yes,No,Yes,No,No,No,No,No,65.4%,TX,ILS001,NYN001,000340,Yes,No
341,Plan 341,Silver,PPO,Family,No,Yes,Yes,Yes,No,Yes,Yes,No,No,69.1%,NC,OHS001,TXN001,000341,No,Yes
342,Plan 342,Platinum,EPO,Family,No,No,Yes,No,No,No,Yes,Yes,No,76.3%,FL,TXS001,TXN001,000342,Yes,Yes
343,Plan 343,Silver,PPO,Child-only,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,80.2%,GA,OHS001,TXN001,000343,Yes,No
344,Plan 344,Silver,PPO,Family,No,No,No,No,No,No,No,Yes,Yes,68.9%,TX,CAS001,OHN001,000344,No,Yes
345,Plan 345,Bronze,HMO,Individual,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,88.8%,NC,MIS001,PAN001,000345,Yes,No
346,Plan 346,Bronze,PPO,Family,Yes,Yes,Yes,No,Yes,Yes,No,No,No,77.3%,IL,PAS001,FLN001,000346,No,Yes
347,Plan 347,Silver,EPO,Child-only,No,Yes,No,Yes,No,No,Yes,No,No,75.0%,PA,TXS001,PAN001,000347,Yes,Yes
348,Plan 348,Gold,PPO,Child-only,No,Yes,Yes,Yes,No,No,Yes,Yes,No,66.1%,NC,ILS001,ILN001,000348,No,Yes
349,Plan 349,Gold,EPO,Child-only,No,No,Yes,Yes,Yes,No,Yes,No,No,85.4%,NY,TXS001,PAN001,000349,No,No
350,Plan 350,Bronze,PPO,Family,No,Yes,Yes,Yes,No,No,Yes,No,No,77.4%,OH,MIS001,OHN001,000350,Yes,Yes
351,Plan 351,Gold,PPO,Child-only,Yes,No,Yes,No,No,No,No,Yes,No,75.0%,NC,NYS001,NCN001,000351,No,No
352,Plan 352,Gold,HMO,Individual,Yes,Yes,Yes,No,No,No,Yes,No,Yes,83.2%,IL,PAS001,GAN001,000352,Yes,Yes
353,Plan 353,Bronze,EPO,Child-only,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,74.2%,FL,TXS001,FLN001,000353,No,Yes
354,Plan 354,Gold,HMO,Family,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,68.2%,GA,FLS001,ILN001,000354,Yes,Yes
355,Plan 355,Gold,HMO,Individual,Yes,Yes,No,No,Yes,No,Yes,No,No,82.0%,NC,ILS001,NYN001,000355,No,Yes
356,Plan 356,Silver,HMO,Individual,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,86.6%,OH,TXS001,GAN001,000356,No,Yes
357,Plan 357,Gold,PPO,Family,No,No,No,No,No,No,No,No,Yes,65.6%,FL,TXS001,ILN001,000357,Yes,Yes
358,Plan 358,Silver,EPO,Individual,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,89.4%,NC,TXS001,TXN001,000358,No,No
359,Plan 359,Gold,EPO,Individual,Yes,No,No,Yes,Yes,No,Yes,No,Yes,75.3%,NC,PAS001,CAN001,000359,No,Yes
360,Plan 360,Gold,HMO,Child-only,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,71.0%,GA,NCS001,NYN001,000360,No,Yes
361,Plan 361,Gold,PPO,Individual,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,72.8%,IL,ILS001,GAN001,000361,Yes,Yes
362,Plan 362,Silver,EPO,Child-only,No,Yes,Yes,Yes,No,No,Yes,No,Yes,78.0%,NC,CAS001,PAN001,000362,No,No
363,Plan 363,Bronze,HMO,Child-only,Yes,No,No,Yes,No,No,Yes,No,No,89.9%,OH,PAS001,NCN001,000363,No,Yes
364,Plan 364,Bronze,PPO,Family,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,66.7%,NC,OHS001,MIN001,000364,No,No
365,Plan 365,Silver,EPO,Child-only,No,Yes,Yes,Yes,No,No,No,Yes,Yes,71.2%,FL,NCS001,NYN001,000365,No,Yes
366,Plan 366,Bronze,HMO,Individual,Yes,Yes,No,No,No,No,Yes,Yes,No,62.7%,GA,NCS001,OHN001,000366,No,No
